campaign_id,campaign_name,product_id,channel,start_date,end_date
5000,Campaign_5000,3065,Social Media,2025-03-03,2025-04-09
5001,Campaign_5001,3011,Social Media,2025-03-02,2025-04-09
5002,Campaign_5002,3044,Email,2025-03-21,2025-04-26
5003,Campaign_5003,3006,TV,2025-04-04,2025-05-16
5004,Campaign_5004,3047,Social Media,2025-04-22,2025-05-26
5005,Campaign_5005,3010,Search Engine,2025-04-07,2025-05-01
5006,Campaign_5006,3003,Search Engine,2025-03-07,2025-03-23
5007,Campaign_5007,3091,Search Engine,2025-02-14,2025-04-15
5008,Campaign_5008,3018,Social Media,2025-02-26,2025-03-10
5009,Campaign_5009,3036,TV,2025-02-26,2025-04-21
5010,Campaign_5010,3017,TV,2025-02-06,2025-03-16
5011,Campaign_5011,3078,Email,2025-04-14,2025-04-29
5012,Campaign_5012,3002,Search Engine,2025-03-08,2025-03-31
5013,Campaign_5013,3019,Radio,2025-02-26,2025-04-23
5014,Campaign_5014,3077,Radio,2025-02-11,2025-03-20
5015,Campaign_5015,3014,Search Engine,2025-04-05,2025-04-30
5016,Campaign_5016,3038,Email,2025-03-04,2025-03-17
5017,Campaign_5017,3030,TV,2025-04-16,2025-06-05
5018,Campaign_5018,3079,TV,2025-04-15,2025-04-29
5019,Campaign_5019,3014,TV,2025-04-05,2025-05-23
5020,Campaign_5020,3068,Email,2025-04-26,2025-06-15
5021,Campaign_5021,3065,Radio,2025-03-21,2025-04-15
5022,Campaign_5022,3091,Social Media,2025-04-03,2025-05-01
5023,Campaign_5023,3054,Email,2025-03-17,2025-05-05
5024,Campaign_5024,3045,Social Media,2025-04-07,2025-05-23
5025,Campaign_5025,3053,Social Media,2025-04-03,2025-05-25
5026,Campaign_5026,3085,Email,2025-03-08,2025-04-20
5027,Campaign_5027,3046,Email,2025-03-29,2025-05-11
5028,Campaign_5028,3069,Radio,2025-03-14,2025-05-13
5029,Campaign_5029,3064,Radio,2025-03-23,2025-04-03
5030,Campaign_5030,3049,TV,2025-03-31,2025-04-12
5031,Campaign_5031,3081,TV,2025-02-06,2025-03-11
5032,Campaign_5032,3032,Email,2025-03-10,2025-04-11
5033,Campaign_5033,3008,Search Engine,2025-03-10,2025-04-04
5034,Campaign_5034,3093,Email,2025-03-08,2025-05-06
5035,Campaign_5035,3074,Search Engine,2025-03-10,2025-03-28
5036,Campaign_5036,3005,Search Engine,2025-04-25,2025-06-08
5037,Campaign_5037,3043,Social Media,2025-03-20,2025-05-18
5038,Campaign_5038,3087,TV,2025-02-19,2025-04-14
5039,Campaign_5039,3061,Social Media,2025-03-21,2025-04-08
5040,Campaign_5040,3008,TV,2025-04-28,2025-05-10
5041,Campaign_5041,3037,Social Media,2025-04-18,2025-04-30
5042,Campaign_5042,3025,Email,2025-03-25,2025-04-24
5043,Campaign_5043,3039,Radio,2025-02-25,2025-04-01
5044,Campaign_5044,3069,TV,2025-03-28,2025-04-23
5045,Campaign_5045,3004,Social Media,2025-04-13,2025-05-11
5046,Campaign_5046,3045,Email,2025-02-21,2025-04-13
5047,Campaign_5047,3042,Search Engine,2025-04-11,2025-04-28
5048,Campaign_5048,3047,TV,2025-03-14,2025-04-18
5049,Campaign_5049,3095,TV,2025-03-01,2025-04-04
5050,Campaign_5050,3043,Social Media,2025-03-16,2025-04-26
5051,Campaign_5051,3088,TV,2025-02-08,2025-03-13
5052,Campaign_5052,3066,Search Engine,2025-04-10,2025-04-25
5053,Campaign_5053,3093,TV,2025-04-28,2025-05-13
5054,Campaign_5054,3055,Radio,2025-04-01,2025-04-22
5055,Campaign_5055,3069,Search Engine,2025-02-12,2025-03-14
5056,Campaign_5056,3013,Email,2025-04-07,2025-05-07
5057,Campaign_5057,3084,Search Engine,2025-03-24,2025-04-22
5058,Campaign_5058,3057,Radio,2025-03-31,2025-05-25
5059,Campaign_5059,3054,Social Media,2025-03-10,2025-05-03
5060,Campaign_5060,3056,Search Engine,2025-02-13,2025-03-23
5061,Campaign_5061,3005,Search Engine,2025-02-25,2025-04-15
5062,Campaign_5062,3055,Search Engine,2025-04-18,2025-06-07
5063,Campaign_5063,3007,Email,2025-03-28,2025-05-19
5064,Campaign_5064,3081,TV,2025-03-12,2025-04-14
5065,Campaign_5065,3065,Social Media,2025-03-06,2025-03-17
5066,Campaign_5066,3018,Radio,2025-03-05,2025-04-27
5067,Campaign_5067,3056,Email,2025-04-18,2025-05-06
5068,Campaign_5068,3008,Social Media,2025-03-07,2025-05-05
5069,Campaign_5069,3082,Search Engine,2025-03-20,2025-04-22
5070,Campaign_5070,3049,Radio,2025-04-11,2025-04-23
5071,Campaign_5071,3077,Social Media,2025-03-22,2025-05-14
5072,Campaign_5072,3057,Search Engine,2025-02-07,2025-03-12
5073,Campaign_5073,3056,Email,2025-02-20,2025-04-07
