date_key,date,year,month,day,quarter
20240101,2024-01-01,2024,1,1,Q1
20240102,2024-01-02,2024,1,2,Q1
20240103,2024-01-03,2024,1,3,Q1
20240104,2024-01-04,2024,1,4,Q1
20240105,2024-01-05,2024,1,5,Q1
20240106,2024-01-06,2024,1,6,Q1
20240107,2024-01-07,2024,1,7,Q1
20240108,2024-01-08,2024,1,8,Q1
20240109,2024-01-09,2024,1,9,Q1
20240110,2024-01-10,2024,1,10,Q1
20240111,2024-01-11,2024,1,11,Q1
20240112,2024-01-12,2024,1,12,Q1
20240113,2024-01-13,2024,1,13,Q1
20240114,2024-01-14,2024,1,14,Q1
20240115,2024-01-15,2024,1,15,Q1
20240116,2024-01-16,2024,1,16,Q1
20240117,2024-01-17,2024,1,17,Q1
20240118,2024-01-18,2024,1,18,Q1
20240119,2024-01-19,2024,1,19,Q1
20240120,2024-01-20,2024,1,20,Q1
20240121,2024-01-21,2024,1,21,Q1
20240122,2024-01-22,2024,1,22,Q1
20240123,2024-01-23,2024,1,23,Q1
20240124,2024-01-24,2024,1,24,Q1
20240125,2024-01-25,2024,1,25,Q1
20240126,2024-01-26,2024,1,26,Q1
20240127,2024-01-27,2024,1,27,Q1
20240128,2024-01-28,2024,1,28,Q1
20240129,2024-01-29,2024,1,29,Q1
20240130,2024-01-30,2024,1,30,Q1
20240131,2024-01-31,2024,1,31,Q1
20240201,2024-02-01,2024,2,1,Q1
20240202,2024-02-02,2024,2,2,Q1
20240203,2024-02-03,2024,2,3,Q1
20240204,2024-02-04,2024,2,4,Q1
20240205,2024-02-05,2024,2,5,Q1
20240206,2024-02-06,2024,2,6,Q1
20240207,2024-02-07,2024,2,7,Q1
20240208,2024-02-08,2024,2,8,Q1
20240209,2024-02-09,2024,2,9,Q1
20240210,2024-02-10,2024,2,10,Q1
20240211,2024-02-11,2024,2,11,Q1
20240212,2024-02-12,2024,2,12,Q1
20240213,2024-02-13,2024,2,13,Q1
20240214,2024-02-14,2024,2,14,Q1
20240215,2024-02-15,2024,2,15,Q1
20240216,2024-02-16,2024,2,16,Q1
20240217,2024-02-17,2024,2,17,Q1
20240218,2024-02-18,2024,2,18,Q1
20240219,2024-02-19,2024,2,19,Q1
20240220,2024-02-20,2024,2,20,Q1
20240221,2024-02-21,2024,2,21,Q1
20240222,2024-02-22,2024,2,22,Q1
20240223,2024-02-23,2024,2,23,Q1
20240224,2024-02-24,2024,2,24,Q1
20240225,2024-02-25,2024,2,25,Q1
20240226,2024-02-26,2024,2,26,Q1
20240227,2024-02-27,2024,2,27,Q1
20240228,2024-02-28,2024,2,28,Q1
20240229,2024-02-29,2024,2,29,Q1
20240301,2024-03-01,2024,3,1,Q1
20240302,2024-03-02,2024,3,2,Q1
20240303,2024-03-03,2024,3,3,Q1
20240304,2024-03-04,2024,3,4,Q1
20240305,2024-03-05,2024,3,5,Q1
20240306,2024-03-06,2024,3,6,Q1
20240307,2024-03-07,2024,3,7,Q1
20240308,2024-03-08,2024,3,8,Q1
20240309,2024-03-09,2024,3,9,Q1
20240310,2024-03-10,2024,3,10,Q1
20240311,2024-03-11,2024,3,11,Q1
20240312,2024-03-12,2024,3,12,Q1
20240313,2024-03-13,2024,3,13,Q1
20240314,2024-03-14,2024,3,14,Q1
20240315,2024-03-15,2024,3,15,Q1
20240316,2024-03-16,2024,3,16,Q1
20240317,2024-03-17,2024,3,17,Q1
20240318,2024-03-18,2024,3,18,Q1
20240319,2024-03-19,2024,3,19,Q1
20240320,2024-03-20,2024,3,20,Q1
20240321,2024-03-21,2024,3,21,Q1
20240322,2024-03-22,2024,3,22,Q1
20240323,2024-03-23,2024,3,23,Q1
20240324,2024-03-24,2024,3,24,Q1
20240325,2024-03-25,2024,3,25,Q1
20240326,2024-03-26,2024,3,26,Q1
20240327,2024-03-27,2024,3,27,Q1
20240328,2024-03-28,2024,3,28,Q1
20240329,2024-03-29,2024,3,29,Q1
20240330,2024-03-30,2024,3,30,Q1
